"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2022-11-10",-9.27250037272306,-9.37565294251932
"2022-11-11",-8.62210191261176,-8.98142278962908
"2022-11-14",-9.64867974081464,-9.7713824969609
"2022-11-15",-9.01676771384675,-9.43625125621736
"2022-11-16",-9.57467030404479,-9.46990532403754
"2022-11-17",-9.94962086840143,-9.6890953398225
"2022-11-18",-9.68750095077398,-9.22454325417368
"2022-11-21",-9.97355355946606,-9.24848119994107
"2022-11-22",-8.49070705715161,-8.19743070047167
"2022-11-23",-8.41290806082269,-7.92737348705698
"2022-11-24",-8.2636153469394,-7.67826291331473
"2022-11-25",-8.14181849945448,-7.45608908844257
"2022-11-28",-8.90786091591639,-8.07624157008334
"2022-11-29",-7.72471177867295,-7.95356053515141
"2022-11-30",-7.42339012534603,-7.25410470545943
"2022-12-01",-7.34855398879538,-7.05736073089828
"2022-12-02",-7.19338948262759,-7.3027302977699
"2022-12-05",-8.83776379782636,-8.26850233400594
"2022-12-06",-10.2359575634329,-9.33375966317444
"2022-12-07",-10.2238165973588,-9.4938507668127
"2022-12-08",-10.0608719157372,-9.50955699806315
"2022-12-09",-10.6711027221068,-9.62775482235653
"2022-12-12",-10.5480839098281,-9.34049197614003
"2022-12-13",-10.1072402599241,-9.51479740648514
"2022-12-14",-10.3772990641594,-10.2075134262038
"2022-12-15",-11.7540697275206,-11.5001924856742
"2022-12-16",-12.6553493806003,-12.2729615542197
"2022-12-19",-13.3950276215145,-13.1908427049054
"2022-12-20",-12.8572578181591,-12.6933787552043
"2022-12-21",-11.3829754758495,-11.6168984054239
"2022-12-22",-12.6722935986514,-12.5759306316866
"2022-12-23",-11.4432615503354,-11.8899469249336
"2022-12-28",-12.4451203972923,-12.8661847839981
"2022-12-29",-11.723834974558,-12.0028968437972
"2022-12-30",-11.5104670515914,-12.5564758965578
"2023-01-03",-12.3280708935491,-12.1906669000735
"2023-01-04",-12.7182831332611,-11.5922032618731
"2023-01-05",-11.9255731127806,-11.9782166942619
"2023-01-06",-10.2096116177915,-10.5793125318857
"2023-01-09",-10.0521872607229,-10.4199711290231
"2023-01-10",-10.0515874358224,-10.3661126252984
"2023-01-11",-9.52953305530225,-9.85816785875338
"2023-01-12",-8.50874362162516,-9.03228249025108
